Group,Accession,Pvalue,Log2FC
P+G-NCDs_vs_P+G,AarC,0.002925,1.4723
P+G-NCDs_vs_P+G,AcnB,0.04098,4.9028
P+G-NCDs_vs_P+G,AcnA,0.0002043,5.1615
P+G-NCDs_vs_P+G,GltA,0.05804,3.2566
P+G-NCDs_vs_P+G,FrdB,0.03967,4.8293
P+G-NCDs_vs_P+G,FrdC,0.0002164,4.696
P+G-NCDs_vs_P+G,Mdh,0.2101,4.2601
P+G-NCDs_vs_P+G,Icd,0.009041,1.7741
P+G-NCDs_vs_P+G,NuoF-2,0.1912,0.7107
P+G-NCDs_vs_P+G,AtpA,0.001225,3.3555
P+G-NCDs_vs_P+G,AtpD,0.001757,5.1182
P+G-NCDs_vs_P+G,MacA,0.7279,0.2518
P+G-NCDs_vs_P+G,OmcZ,0.0184,6.3445
P+G-NCDs_vs_P+G,PpcA,0.002999,4.2088
P+G-NCDs_vs_P+G,PilA-N,0.01833,5.548
P+G-NCDs_vs_P+G,PilA-C,0.005307,5.8421
P+G_vs_P,AarC,0,0
P+G_vs_P,AcnB,0,0
P+G_vs_P,AcnA,0,0
P+G_vs_P,GltA,0,0
P+G_vs_P,FrdB,0,0
P+G_vs_P,FrdC,0,0
P+G_vs_P,Mdh,0,0
P+G_vs_P,Icd,0,0
P+G_vs_P,NuoF-2,0,0
P+G_vs_P,AtpA,0,0
P+G_vs_P,AtpD,0,0
P+G_vs_P,MacA,0,0
P+G_vs_P,OmcZ,0,0
P+G_vs_P,PpcA,0,0
P+G_vs_P,PilA-N,0,0
P+G_vs_P,PilA-C,0,0
P-NCDs_vs_P,AarC,0,0
P-NCDs_vs_P,AcnB,0,0
P-NCDs_vs_P,AcnA,0,0
P-NCDs_vs_P,GltA,0,0
P-NCDs_vs_P,FrdB,0,0
P-NCDs_vs_P,FrdC,0,0
P-NCDs_vs_P,Mdh,0,0
P-NCDs_vs_P,Icd,0,0
P-NCDs_vs_P,NuoF-2,0,0
P-NCDs_vs_P,AtpA,0,0
P-NCDs_vs_P,AtpD,0,0
P-NCDs_vs_P,MacA,0,0
P-NCDs_vs_P,OmcZ,0,0
P-NCDs_vs_P,PpcA,0,0
P-NCDs_vs_P,PilA-N,0,0
P-NCDs_vs_P,PilA-C,0,0
P+G-NCDs_vs_P-NCDs,AarC,0,0
P+G-NCDs_vs_P-NCDs,AcnB,0,0
P+G-NCDs_vs_P-NCDs,AcnA,0,0
P+G-NCDs_vs_P-NCDs,GltA,0,0
P+G-NCDs_vs_P-NCDs,FrdB,0,0
P+G-NCDs_vs_P-NCDs,FrdC,0,0
P+G-NCDs_vs_P-NCDs,Mdh,0,0
P+G-NCDs_vs_P-NCDs,Icd,0,0
P+G-NCDs_vs_P-NCDs,NuoF-2,0,0
P+G-NCDs_vs_P-NCDs,AtpA,0,0
P+G-NCDs_vs_P-NCDs,AtpD,0,0
P+G-NCDs_vs_P-NCDs,MacA,0,0
P+G-NCDs_vs_P-NCDs,OmcZ,0,0
P+G-NCDs_vs_P-NCDs,PpcA,0,0
P+G-NCDs_vs_P-NCDs,PilA-N,0,0
P+G-NCDs_vs_P-NCDs,PilA-C,0,0
