Group,Accession,Pvalue,Log2FC
P+G-NCDs_vs_P+G,AcsA,9.11E-06,5.9089
P+G-NCDs_vs_P+G,AckA,0.9834,-0.0081
P+G-NCDs_vs_P+G,AceA,0.001408,0.634
P+G-NCDs_vs_P+G,AceB,0.02591,-0.9839
P+G-NCDs_vs_P+G,YfbQ,0.006025,0.9486
P+G-NCDs_vs_P+G,GcvT,0.02448,0.46
P+G-NCDs_vs_P+G,SucA,0.007833,0.5558
P+G-NCDs_vs_P+G,SucC,0.7558,0.0308
P+G-NCDs_vs_P+G,PrpC,0.08982,0.433
P+G-NCDs_vs_P+G,GltA,0.007113,0.5543
P+G-NCDs_vs_P+G,SdhA,0.04719,0.4187
P+G-NCDs_vs_P+G,SdhB,0.5846,0.0786
P+G-NCDs_vs_P+G,SdhC,0,0
P+G-NCDs_vs_P+G,SdhD,0.04693,1.1969
P+G-NCDs_vs_P+G,KgdB,0.005722,0.3084
P+G-NCDs_vs_P+G,FumA,0.0002468,1.6827
P+G-NCDs_vs_P+G,Icd,0.0008252,0.9299
P+G-NCDs_vs_P+G,AcnA,0.2175,0.2226
P+G-NCDs_vs_P+G,AcnB,0.000391,1.7315
P+G-NCDs_vs_P+G,AceK,0.02313,0.2954
P+G-NCDs_vs_P+G,SdhA,0.04719,0.4187
P+G-NCDs_vs_P+G,SdhD,0.04693,1.1969
P+G-NCDs_vs_P+G,PetA,0,0
P+G-NCDs_vs_P+G,PetB,0.002617,1.3435
P+G-NCDs_vs_P+G,PetC,0.008535,0.6088
P+G-NCDs_vs_P+G,CoxB,0.01359,1.631
P+G-NCDs_vs_P+G,CcoN,0.06446,1.4889
P+G-NCDs_vs_P+G,UbiJ,0.007882,-0.8373
P+G-NCDs_vs_P+G,UbiT,0.0008696,2.2726
P+G-NCDs_vs_P+G,UbiV,0.001088,1.2878
P+G-NCDs_vs_P+G,UbiU,0.0008576,0.9146
P+G-NCDs_vs_P+G,AtpA,0.0002183,1.6614
P+G-NCDs_vs_P+G,AtpD,8.75E-05,1.4449
P+G-NCDs_vs_P+G,HemF,0.004732,1.4677
P+G-NCDs_vs_P+G,CysG,0.4255,0.2701
P+G-NCDs_vs_P+G,NirD,0.1337,1.4465
P+G-NCDs_vs_P+G,NirE,0.001076,1.9428
P+G-NCDs_vs_P+G,NirJ,0.007862,1.3815
P+G-NCDs_vs_P+G,NirN,0.1337,1.4465
P+G-NCDs_vs_P+G,CcmA,0.7831,-0.1209
P+G-NCDs_vs_P+G,CcmD,0.9778,-0.0142
P+G-NCDs_vs_P+G,CcmF,0.1402,0.674
P+G-NCDs_vs_P+G,CycB,0.9617,-0.0114
P+G-NCDs_vs_P+G,CycH,0.3359,0.2451
P+G-NCDs_vs_P+G,NirM,0.09848,0.5899
P+G-NCDs_vs_P+G,NosZ,0.00148,0.7004
P+G-NCDs_vs_P+G,NirS,0.006182,0.6713
P+G-NCDs_vs_P+G,NorB,0.007795,1.0346
P+G-NCDs_vs_P+G,NorC,0.0006776,1.9133
P+G-NCDs_vs_P+G,NorD,0.0002787,2.4926
P+G-NCDs_vs_P+G,NarG,0.001391,0.6759
P+G-NCDs_vs_P+G,NarM,0.005673,-1.5212
P+G-NCDs_vs_P+G,NosY,0.2087,1.2286
P+G-NCDs_vs_P+G,NirQ,0.0838,0.6257
P+G_vs_P,AcsA,6.03E-05,-1.3393
P+G_vs_P,AckA,0.2338,-0.4276
P+G_vs_P,AceA,0.002739,0.3908
P+G_vs_P,AceB,0.07698,-0.4129
P+G_vs_P,YfbQ,0.09383,0.2034
P+G_vs_P,GcvT,0.2387,0.2238
P+G_vs_P,SucA,0.1908,-0.041
P+G_vs_P,SucC,0.3665,-0.055
P+G_vs_P,PrpC,0.000421,-0.7013
P+G_vs_P,GltA,0.003109,-0.5784
P+G_vs_P,SdhA,0.0265,-0.2711
P+G_vs_P,SdhB,0.3459,-0.1087
P+G_vs_P,SdhC,0.02227,-0.9794
P+G_vs_P,SdhD,0.02013,-1.0997
P+G_vs_P,KgdB,0.001516,-0.4114
P+G_vs_P,FumA,0.03223,-0.2891
P+G_vs_P,Icd,0.873,-0.0144
P+G_vs_P,AcnA,0.02624,0.2329
P+G_vs_P,AcnB,0.02546,-0.4534
P+G_vs_P,AceK,0.1118,0.1263
P+G_vs_P,SdhA,0.0265,-0.2711
P+G_vs_P,SdhD,0.02013,-1.0997
P+G_vs_P,PetA,0.05992,-0.2301
P+G_vs_P,PetB,0.001424,-0.6732
P+G_vs_P,PetC,0.0001076,-0.7255
P+G_vs_P,CoxB,0.0003526,-2.3718
P+G_vs_P,CcoN,0.06156,-0.2595
P+G_vs_P,UbiJ,0.4976,0.0517
P+G_vs_P,UbiT,0.007064,2.5316
P+G_vs_P,UbiV,0.000134,1.0607
P+G_vs_P,UbiU,4.15E-05,1.1057
P+G_vs_P,AtpA,0.05831,0.1429
P+G_vs_P,AtpD,0.7346,-0.0192
P+G_vs_P,HemF,0.2104,0.2355
P+G_vs_P,CysG,0.03739,0.618
P+G_vs_P,NirD,0.009938,2.7547
P+G_vs_P,NirE,3.76E-05,0.8157
P+G_vs_P,NirJ,0.02577,1.63
P+G_vs_P,NirN,0.009938,2.7547
P+G_vs_P,CcmA,0.08243,0.2545
P+G_vs_P,CcmD,0.08888,2.0289
P+G_vs_P,CcmF,0.5162,-0.1686
P+G_vs_P,CycB,0.2725,-0.1884
P+G_vs_P,CycH,0.7532,0.0263
P+G_vs_P,NirM,0.07888,1.0523
P+G_vs_P,NosZ,0.03297,0.2524
P+G_vs_P,NirS,0.002997,1.2216
P+G_vs_P,NorB,0.01712,1.2995
P+G_vs_P,NorC,0.01486,0.8766
P+G_vs_P,NorD,0.07829,1.8831
P+G_vs_P,NarG,0.01524,-0.2307
P+G_vs_P,NarM,0.02517,0.7519
P+G_vs_P,NosY,0.2234,0.3545
